"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.155100835E-1,-9.242069592E-1,1.408400854E0,-4.683557172E0,4.977294371E0
6.254370834E-1,-8.881399443E-1,1.628457161E0,-4.007641262E0,4.416090327E0
6.353650833E-1,-8.245591486E-1,1.754629403E0,-3.412566032E0,3.924822169E0
6.452920835E-1,-9.361037041E-1,1.862710214E0,-3.033242535E0,3.680562425E0
6.552200834E-1,-9.968599293E-1,1.938324215E0,-2.543704285E0,3.349815214E0
6.651470833E-1,-5.815229921E-1,2.230244117E0,-2.493420569E0,3.395482874E0
6.750750835E-1,-1.744555162E-1,2.676083786E0,-2.373020552E0,3.580933634E0
6.850030834E-1,-5.542502627E-2,3.013237456E0,-1.386973586E0,3.317584608E0
6.949300834E-1,-2.155307444E-1,3.301742877E0,-4.307795799E-1,3.336694558E0
7.048580835E-1,-4.951312945E-1,3.409354742E0,9.492311418E-2,3.446427883E0
7.147850834E-1,-7.561271372E-1,3.395658224E0,4.173222131E-1,3.503766666E0
7.247130834E-1,-6.328328211E-1,3.325088470E0,5.685224390E-1,3.432187128E0
7.346400835E-1,-5.345965283E-1,3.416633356E0,5.026377672E-1,3.494541695E0
7.445680834E-1,-6.994424745E-1,3.736118787E0,1.426428258E-1,3.803702189E0
7.544960834E-1,-6.912671900E-1,4.006806572E0,1.331136185E-1,4.068177537E0
7.644230835E-1,-7.171387073E-1,4.127784880E0,6.093944764E-1,4.233704945E0
7.743510834E-1,-7.530824921E-1,4.008393799E0,1.388204425E0,4.308301941E0
7.842780834E-1,-8.903265106E-1,3.807950954E0,2.890551177E0,4.862968011E0
7.942060835E-1,-8.640907118E-1,3.664645639E0,4.732090232E0,6.047227330E0
8.041340834E-1,-7.081124336E-1,3.576669894E0,5.506480270E0,6.604189255E0
8.140610834E-1,-4.070068476E-1,3.266180111E0,6.503998303E0,7.289415685E0
8.239890835E-1,-2.879950687E-1,3.283623233E0,7.785568226E0,8.454596105E0
8.339160834E-1,-1.805160091E-1,3.450804776E0,8.456308181E0,9.135085532E0
8.438440834E-1,1.054319494E-1,3.393951421E0,9.385982140E0,9.981316691E0
8.537710835E-1,2.783447143E-1,3.113493816E0,1.053815026E1,1.099199392E1
8.636990834E-1,3.524355879E-1,2.742654336E0,1.078183414E1,1.113078214E1
8.736270834E-1,5.575540857E-1,2.156576070E0,1.078724983E1,1.101482845E1
8.835540835E-1,5.528595390E-1,1.697777072E0,1.088903582E1,1.103445521E1
8.934820835E-1,5.196793676E-1,1.349954571E0,1.061932247E1,1.071739025E1
9.034090834E-1,7.441502854E-1,9.499978580E-1,1.007204648E1,1.014408083E1
9.133370835E-1,9.276626636E-1,6.388854933E-1,9.211289556E0,9.279902369E0
9.232640835E-1,1.057096191E0,2.682549052E-1,7.639519397E0,7.716972831E0
9.331920834E-1,1.025454860E0,-7.510719270E-2,5.828371246E0,5.918370565E0
9.431200833E-1,7.850397183E-1,-1.941791613E-1,4.000615248E0,4.081533446E0
9.530470835E-1,6.073672467E-1,-2.670908707E-1,2.489624557E0,2.576521481E0
9.629750834E-1,5.860469829E-1,-2.581564714E-1,1.258499733E0,1.412061404E0
9.729020833E-1,7.567150017E-1,-2.715856254E-1,4.523914737E-1,9.225152525E-1
9.828300835E-1,7.997814260E-1,-2.675023685E-1,2.223169863E-2,8.436243803E-1
9.927570834E-1,7.794301920E-1,-2.923774472E-1,-5.017723793E-1,9.719935784E-1
1.002685083E0,8.327592838E-1,-3.506892438E-1,-1.133899076E0,1.449895888E0
1.012613083E0,8.162810992E-1,-5.086688778E-1,-1.599859598E0,1.866710903E0
1.022540083E0,7.968690741E-1,-7.121101749E-1,-2.148773984E0,2.399860591E0
1.032468083E0,7.645135063E-1,-8.101355293E-1,-2.727518526E0,2.946210750E0
1.042395083E0,5.590098597E-1,-8.603058091E-1,-3.156602413E0,3.319150027E0
1.052323083E0,3.309725423E-1,-8.928749464E-1,-3.571579308E0,3.696342415E0
1.062251083E0,3.445256207E-1,-1.015574089E0,-3.825219828E0,3.972706303E0
1.072178083E0,6.197437558E-1,-1.105255028E0,-3.904897497E0,4.105349615E0
1.082106083E0,7.961510360E-1,-8.925342000E-1,-4.216049477E0,4.382413372E0
1.092033083E0,9.014713767E-1,-7.428422633E-1,-4.479958878E0,4.629740470E0
1.101961083E0,8.986694641E-1,-8.001880999E-1,-4.680707824E0,4.832901151E0
1.111888083E0,7.139553369E-1,-9.589071143E-1,-4.752913921E0,4.900961724E0
1.121816083E0,5.902903073E-1,-1.139682118E0,-4.672594813E0,4.845664068E0
1.131744083E0,4.923817509E-1,-1.293276048E0,-4.638113782E0,4.840155181E0
1.141671083E0,4.580015116E-1,-1.393160086E0,-4.796589113E0,5.015767891E0
1.151599083E0,4.526217078E-1,-1.409381578E0,-5.082635488E0,5.293808303E0
1.161526083E0,4.427353817E-1,-1.352920864E0,-5.275193070E0,5.463887939E0
1.171454083E0,4.076729185E-1,-1.225576693E0,-5.301427773E0,5.456498132E0
1.181381083E0,3.980918902E-1,-1.043002939E0,-5.430749472E0,5.544309886E0
1.191309083E0,4.903953056E-1,-8.314641255E-1,-5.647537916E0,5.729441915E0
1.201237083E0,5.599325868E-1,-5.830235338E-1,-5.712717998E0,5.769626320E0
1.211164083E0,5.623804506E-1,-4.405391675E-1,-5.501480901E0,5.547669658E0
1.221092083E0,6.598238609E-1,-4.261234421E-1,-5.173878949E0,5.233160813E0
1.231019083E0,7.446108998E-1,-2.328715029E-1,-5.322534467E0,5.379409603E0
1.240947083E0,7.177541267E-1,4.367548496E-2,-5.541114498E0,5.587578045E0
1.250875083E0,6.303978943E-1,1.662600222E-1,-5.527985744E0,5.566297719E0
1.260802083E0,4.804669527E-1,1.834128293E-1,-5.327481796E0,5.352247289E0
1.270730083E0,2.310233442E-1,3.535647583E-1,-5.067498801E0,5.085068723E0
1.280657083E0,6.298452593E-2,6.212806964E-1,-4.721506187E0,4.762622956E0
1.290585083E0,4.340344325E-2,8.496241155E-1,-4.386970607E0,4.468697361E0
1.300512083E0,1.077143370E-1,9.630039659E-1,-3.847338676E0,3.967492143E0
1.310440083E0,1.300797907E-1,1.145537374E0,-3.429930509E0,3.618507969E0
1.320368083E0,1.395038212E-1,1.489263607E0,-3.234374474E0,3.563501880E0
1.330295083E0,1.054722952E-1,1.801113452E0,-3.115595305E0,3.600287235E0
1.340223084E0,-9.269046452E-2,2.021226038E0,-3.108082802E0,3.708655407E0
1.350150083E0,-3.348687979E-1,2.239426292E0,-2.859926970E0,3.647786932E0
1.360078083E0,-6.297765546E-1,2.398537509E0,-2.047103183E0,3.215623133E0
1.370005084E0,-8.403797407E-1,2.434225112E0,-8.795218062E-1,2.721258645E0
1.379933083E0,-7.323931427E-1,2.514208298E0,5.830556935E-1,2.682833767E0
1.389860500E0,-2.637479445E-1,2.668454923E0,2.127607648E0,3.422999994E0
1.399787500E0,9.148378193E-2,2.670131028E0,4.822409833E0,5.513039596E0
1.409715500E0,2.184409402E-1,2.704154221E0,6.242929480E0,6.806932862E0
1.419642500E0,4.492233060E-1,2.527355470E0,6.838806363E0,7.304697100E0
1.429570500E0,4.902412315E-1,2.491592437E0,7.295763928E0,7.725059264E0
1.439498500E0,2.016084874E-1,2.738889606E0,7.930600224E0,8.392650485E0
1.449425500E0,-9.143802747E-2,2.951777957E0,8.793070965E0,9.275745308E0
1.459353500E0,-8.334394611E-2,3.027304103E0,9.549581972E0,1.001828489E1
1.469280500E0,1.391306227E-1,2.877491713E0,1.010184155E1,1.050459512E1
1.479208500E0,4.285837311E-1,2.475845008E0,1.019931463E1,1.050426159E1
1.489135500E0,6.361983322E-1,1.946311511E0,9.653328534E0,9.868111704E0
1.499063500E0,6.209343220E-1,1.411604105E0,8.843423678E0,8.976877404E0
1.508991500E0,4.319652490E-1,9.671247911E-1,8.000545787E0,8.070356698E0
1.518918500E0,1.847511108E-1,7.085179380E-1,6.916973112E0,6.955619862E0
1.528846500E0,1.176187163E-1,4.360099143E-1,5.746692660E0,5.764409366E0
1.538773500E0,1.373942189E-1,2.263232061E-1,4.802937436E0,4.810229451E0
1.548701500E0,9.551872618E-2,1.706676534E-1,3.900912620E0,3.905812405E0
1.558629500E0,1.652978629E-2,1.555335975E-1,2.668703722E0,2.673283279E0
1.568556500E0,-1.459808551E-2,-7.449352741E-4,1.452140805E0,1.452214370E0
1.578484500E0,-4.058910526E-2,-2.551587501E-1,3.815957254E-1,4.608348521E-1
